,train,val,test
0,TEST-SLIDE_1,TEST-SLIDE_361,TEST-SLIDE_325
1,TEST-SLIDE_2,TEST-SLIDE_362,TEST-SLIDE_326
2,TEST-SLIDE_3,TEST-SLIDE_363,TEST-SLIDE_327
3,TEST-SLIDE_37,TEST-SLIDE_259,TEST-SLIDE_217
4,TEST-SLIDE_38,TEST-SLIDE_260,TEST-SLIDE_218
5,TEST-SLIDE_39,TEST-SLIDE_261,TEST-SLIDE_219
6,TEST-SLIDE_73,TEST-SLIDE_82,TEST-SLIDE_43
7,TEST-SLIDE_74,TEST-SLIDE_83,TEST-SLIDE_44
8,TEST-SLIDE_75,TEST-SLIDE_84,TEST-SLIDE_45
9,TEST-SLIDE_109,TEST-SLIDE_13,TEST-SLIDE_7
10,TEST-SLIDE_110,TEST-SLIDE_14,TEST-SLIDE_8
11,TEST-SLIDE_111,TEST-SLIDE_15,TEST-SLIDE_9
12,TEST-SLIDE_145,TEST-SLIDE_76,TEST-SLIDE_118
13,TEST-SLIDE_146,TEST-SLIDE_77,TEST-SLIDE_119
14,TEST-SLIDE_147,TEST-SLIDE_78,TEST-SLIDE_120
15,TEST-SLIDE_181,TEST-SLIDE_16,TEST-SLIDE_190
16,TEST-SLIDE_182,TEST-SLIDE_17,TEST-SLIDE_191
17,TEST-SLIDE_183,TEST-SLIDE_18,TEST-SLIDE_192
18,TEST-SLIDE_253,TEST-SLIDE_163,TEST-SLIDE_301
19,TEST-SLIDE_254,TEST-SLIDE_164,TEST-SLIDE_302
20,TEST-SLIDE_255,TEST-SLIDE_165,TEST-SLIDE_303
21,TEST-SLIDE_289,TEST-SLIDE_94,TEST-SLIDE_373
22,TEST-SLIDE_290,TEST-SLIDE_95,TEST-SLIDE_374
23,TEST-SLIDE_291,TEST-SLIDE_96,TEST-SLIDE_375
24,TEST-SLIDE_331,TEST-SLIDE_277,TEST-SLIDE_40
25,TEST-SLIDE_332,TEST-SLIDE_278,TEST-SLIDE_41
26,TEST-SLIDE_333,TEST-SLIDE_279,TEST-SLIDE_42
27,TEST-SLIDE_367,TEST-SLIDE_280,TEST-SLIDE_148
28,TEST-SLIDE_368,TEST-SLIDE_281,TEST-SLIDE_149
29,TEST-SLIDE_369,TEST-SLIDE_282,TEST-SLIDE_150
30,TEST-SLIDE_79,TEST-SLIDE_103,TEST-SLIDE_160
31,TEST-SLIDE_80,TEST-SLIDE_104,TEST-SLIDE_161
32,TEST-SLIDE_81,TEST-SLIDE_105,TEST-SLIDE_162
33,TEST-SLIDE_115,TEST-SLIDE_106,TEST-SLIDE_376
34,TEST-SLIDE_116,TEST-SLIDE_107,TEST-SLIDE_377
35,TEST-SLIDE_117,TEST-SLIDE_108,TEST-SLIDE_378
36,TEST-SLIDE_151,,TEST-SLIDE_91
37,TEST-SLIDE_152,,TEST-SLIDE_92
38,TEST-SLIDE_153,,TEST-SLIDE_93
39,TEST-SLIDE_187,,TEST-SLIDE_127
40,TEST-SLIDE_188,,TEST-SLIDE_128
41,TEST-SLIDE_189,,TEST-SLIDE_129
42,TEST-SLIDE_223,,TEST-SLIDE_22
43,TEST-SLIDE_224,,TEST-SLIDE_23
44,TEST-SLIDE_225,,TEST-SLIDE_24
45,TEST-SLIDE_295,,TEST-SLIDE_58
46,TEST-SLIDE_296,,TEST-SLIDE_59
47,TEST-SLIDE_297,,TEST-SLIDE_60
48,TEST-SLIDE_298,,TEST-SLIDE_385
49,TEST-SLIDE_299,,TEST-SLIDE_386
50,TEST-SLIDE_300,,TEST-SLIDE_387
51,TEST-SLIDE_334,,TEST-SLIDE_349
52,TEST-SLIDE_335,,TEST-SLIDE_350
53,TEST-SLIDE_336,,TEST-SLIDE_351
54,TEST-SLIDE_370,,TEST-SLIDE_388
55,TEST-SLIDE_371,,TEST-SLIDE_389
56,TEST-SLIDE_372,,TEST-SLIDE_390
57,TEST-SLIDE_46,,TEST-SLIDE_208
58,TEST-SLIDE_47,,TEST-SLIDE_209
59,TEST-SLIDE_48,,TEST-SLIDE_210
60,TEST-SLIDE_10,,TEST-SLIDE_247
61,TEST-SLIDE_11,,TEST-SLIDE_248
62,TEST-SLIDE_12,,TEST-SLIDE_249
63,TEST-SLIDE_154,,TEST-SLIDE_175
64,TEST-SLIDE_155,,TEST-SLIDE_176
65,TEST-SLIDE_156,,TEST-SLIDE_177
66,TEST-SLIDE_226,,TEST-SLIDE_322
67,TEST-SLIDE_227,,TEST-SLIDE_323
68,TEST-SLIDE_228,,TEST-SLIDE_324
69,TEST-SLIDE_262,,TEST-SLIDE_214
70,TEST-SLIDE_263,,TEST-SLIDE_215
71,TEST-SLIDE_264,,TEST-SLIDE_216
72,TEST-SLIDE_337,,
73,TEST-SLIDE_338,,
74,TEST-SLIDE_339,,
75,TEST-SLIDE_49,,
76,TEST-SLIDE_50,,
77,TEST-SLIDE_51,,
78,TEST-SLIDE_85,,
79,TEST-SLIDE_86,,
80,TEST-SLIDE_87,,
81,TEST-SLIDE_121,,
82,TEST-SLIDE_122,,
83,TEST-SLIDE_123,,
84,TEST-SLIDE_157,,
85,TEST-SLIDE_158,,
86,TEST-SLIDE_159,,
87,TEST-SLIDE_193,,
88,TEST-SLIDE_194,,
89,TEST-SLIDE_195,,
90,TEST-SLIDE_229,,
91,TEST-SLIDE_230,,
92,TEST-SLIDE_231,,
93,TEST-SLIDE_265,,
94,TEST-SLIDE_266,,
95,TEST-SLIDE_267,,
96,TEST-SLIDE_328,,
97,TEST-SLIDE_329,,
98,TEST-SLIDE_330,,
99,TEST-SLIDE_364,,
100,TEST-SLIDE_365,,
101,TEST-SLIDE_366,,
102,TEST-SLIDE_4,,
103,TEST-SLIDE_5,,
104,TEST-SLIDE_6,,
105,TEST-SLIDE_112,,
106,TEST-SLIDE_113,,
107,TEST-SLIDE_114,,
108,TEST-SLIDE_184,,
109,TEST-SLIDE_185,,
110,TEST-SLIDE_186,,
111,TEST-SLIDE_220,,
112,TEST-SLIDE_221,,
113,TEST-SLIDE_222,,
114,TEST-SLIDE_256,,
115,TEST-SLIDE_257,,
116,TEST-SLIDE_258,,
117,TEST-SLIDE_292,,
118,TEST-SLIDE_293,,
119,TEST-SLIDE_294,,
120,TEST-SLIDE_304,,
121,TEST-SLIDE_305,,
122,TEST-SLIDE_306,,
123,TEST-SLIDE_340,,
124,TEST-SLIDE_341,,
125,TEST-SLIDE_342,,
126,TEST-SLIDE_52,,
127,TEST-SLIDE_53,,
128,TEST-SLIDE_54,,
129,TEST-SLIDE_88,,
130,TEST-SLIDE_89,,
131,TEST-SLIDE_90,,
132,TEST-SLIDE_124,,
133,TEST-SLIDE_125,,
134,TEST-SLIDE_126,,
135,TEST-SLIDE_196,,
136,TEST-SLIDE_197,,
137,TEST-SLIDE_198,,
138,TEST-SLIDE_232,,
139,TEST-SLIDE_233,,
140,TEST-SLIDE_234,,
141,TEST-SLIDE_268,,
142,TEST-SLIDE_269,,
143,TEST-SLIDE_270,,
144,TEST-SLIDE_307,,
145,TEST-SLIDE_308,,
146,TEST-SLIDE_309,,
147,TEST-SLIDE_343,,
148,TEST-SLIDE_344,,
149,TEST-SLIDE_345,,
150,TEST-SLIDE_379,,
151,TEST-SLIDE_380,,
152,TEST-SLIDE_381,,
153,TEST-SLIDE_55,,
154,TEST-SLIDE_56,,
155,TEST-SLIDE_57,,
156,TEST-SLIDE_199,,
157,TEST-SLIDE_200,,
158,TEST-SLIDE_201,,
159,TEST-SLIDE_19,,
160,TEST-SLIDE_20,,
161,TEST-SLIDE_21,,
162,TEST-SLIDE_235,,
163,TEST-SLIDE_236,,
164,TEST-SLIDE_237,,
165,TEST-SLIDE_271,,
166,TEST-SLIDE_272,,
167,TEST-SLIDE_273,,
168,TEST-SLIDE_310,,
169,TEST-SLIDE_311,,
170,TEST-SLIDE_312,,
171,TEST-SLIDE_346,,
172,TEST-SLIDE_347,,
173,TEST-SLIDE_348,,
174,TEST-SLIDE_382,,
175,TEST-SLIDE_383,,
176,TEST-SLIDE_384,,
177,TEST-SLIDE_130,,
178,TEST-SLIDE_131,,
179,TEST-SLIDE_132,,
180,TEST-SLIDE_166,,
181,TEST-SLIDE_167,,
182,TEST-SLIDE_168,,
183,TEST-SLIDE_202,,
184,TEST-SLIDE_203,,
185,TEST-SLIDE_204,,
186,TEST-SLIDE_238,,
187,TEST-SLIDE_239,,
188,TEST-SLIDE_240,,
189,TEST-SLIDE_274,,
190,TEST-SLIDE_275,,
191,TEST-SLIDE_276,,
192,TEST-SLIDE_313,,
193,TEST-SLIDE_314,,
194,TEST-SLIDE_315,,
195,TEST-SLIDE_61,,
196,TEST-SLIDE_62,,
197,TEST-SLIDE_63,,
198,TEST-SLIDE_97,,
199,TEST-SLIDE_98,,
200,TEST-SLIDE_99,,
201,TEST-SLIDE_133,,
202,TEST-SLIDE_134,,
203,TEST-SLIDE_135,,
204,TEST-SLIDE_169,,
205,TEST-SLIDE_170,,
206,TEST-SLIDE_171,,
207,TEST-SLIDE_205,,
208,TEST-SLIDE_206,,
209,TEST-SLIDE_207,,
210,TEST-SLIDE_241,,
211,TEST-SLIDE_242,,
212,TEST-SLIDE_243,,
213,TEST-SLIDE_25,,
214,TEST-SLIDE_26,,
215,TEST-SLIDE_27,,
216,TEST-SLIDE_28,,
217,TEST-SLIDE_29,,
218,TEST-SLIDE_30,,
219,TEST-SLIDE_316,,
220,TEST-SLIDE_317,,
221,TEST-SLIDE_318,,
222,TEST-SLIDE_352,,
223,TEST-SLIDE_353,,
224,TEST-SLIDE_354,,
225,TEST-SLIDE_64,,
226,TEST-SLIDE_65,,
227,TEST-SLIDE_66,,
228,TEST-SLIDE_100,,
229,TEST-SLIDE_101,,
230,TEST-SLIDE_102,,
231,TEST-SLIDE_136,,
232,TEST-SLIDE_137,,
233,TEST-SLIDE_138,,
234,TEST-SLIDE_172,,
235,TEST-SLIDE_173,,
236,TEST-SLIDE_174,,
237,TEST-SLIDE_244,,
238,TEST-SLIDE_245,,
239,TEST-SLIDE_246,,
240,TEST-SLIDE_319,,
241,TEST-SLIDE_320,,
242,TEST-SLIDE_321,,
243,TEST-SLIDE_31,,
244,TEST-SLIDE_32,,
245,TEST-SLIDE_33,,
246,TEST-SLIDE_355,,
247,TEST-SLIDE_356,,
248,TEST-SLIDE_357,,
249,TEST-SLIDE_391,,
250,TEST-SLIDE_392,,
251,TEST-SLIDE_393,,
252,TEST-SLIDE_67,,
253,TEST-SLIDE_68,,
254,TEST-SLIDE_69,,
255,TEST-SLIDE_139,,
256,TEST-SLIDE_140,,
257,TEST-SLIDE_141,,
258,TEST-SLIDE_211,,
259,TEST-SLIDE_212,,
260,TEST-SLIDE_213,,
261,TEST-SLIDE_283,,
262,TEST-SLIDE_284,,
263,TEST-SLIDE_285,,
264,TEST-SLIDE_34,,
265,TEST-SLIDE_35,,
266,TEST-SLIDE_36,,
267,TEST-SLIDE_358,,
268,TEST-SLIDE_359,,
269,TEST-SLIDE_360,,
270,TEST-SLIDE_394,,
271,TEST-SLIDE_395,,
272,TEST-SLIDE_396,,
273,TEST-SLIDE_70,,
274,TEST-SLIDE_71,,
275,TEST-SLIDE_72,,
276,TEST-SLIDE_142,,
277,TEST-SLIDE_143,,
278,TEST-SLIDE_144,,
279,TEST-SLIDE_178,,
280,TEST-SLIDE_179,,
281,TEST-SLIDE_180,,
282,TEST-SLIDE_250,,
283,TEST-SLIDE_251,,
284,TEST-SLIDE_252,,
285,TEST-SLIDE_286,,
286,TEST-SLIDE_287,,
287,TEST-SLIDE_288,,
