,train,val,test
TEST-SLIDE_1,True,False,False
TEST-SLIDE_2,True,False,False
TEST-SLIDE_3,True,False,False
TEST-SLIDE_37,True,False,False
TEST-SLIDE_38,True,False,False
TEST-SLIDE_39,True,False,False
TEST-SLIDE_73,True,False,False
TEST-SLIDE_74,True,False,False
TEST-SLIDE_75,True,False,False
TEST-SLIDE_109,True,False,False
TEST-SLIDE_110,True,False,False
TEST-SLIDE_111,True,False,False
TEST-SLIDE_145,True,False,False
TEST-SLIDE_146,True,False,False
TEST-SLIDE_147,True,False,False
TEST-SLIDE_181,True,False,False
TEST-SLIDE_182,True,False,False
TEST-SLIDE_183,True,False,False
TEST-SLIDE_253,True,False,False
TEST-SLIDE_254,True,False,False
TEST-SLIDE_255,True,False,False
TEST-SLIDE_289,True,False,False
TEST-SLIDE_290,True,False,False
TEST-SLIDE_291,True,False,False
TEST-SLIDE_331,True,False,False
TEST-SLIDE_332,True,False,False
TEST-SLIDE_333,True,False,False
TEST-SLIDE_367,True,False,False
TEST-SLIDE_368,True,False,False
TEST-SLIDE_369,True,False,False
TEST-SLIDE_79,True,False,False
TEST-SLIDE_80,True,False,False
TEST-SLIDE_81,True,False,False
TEST-SLIDE_115,True,False,False
TEST-SLIDE_116,True,False,False
TEST-SLIDE_117,True,False,False
TEST-SLIDE_151,True,False,False
TEST-SLIDE_152,True,False,False
TEST-SLIDE_153,True,False,False
TEST-SLIDE_187,True,False,False
TEST-SLIDE_188,True,False,False
TEST-SLIDE_189,True,False,False
TEST-SLIDE_223,True,False,False
TEST-SLIDE_224,True,False,False
TEST-SLIDE_225,True,False,False
TEST-SLIDE_295,True,False,False
TEST-SLIDE_296,True,False,False
TEST-SLIDE_297,True,False,False
TEST-SLIDE_298,True,False,False
TEST-SLIDE_299,True,False,False
TEST-SLIDE_300,True,False,False
TEST-SLIDE_334,True,False,False
TEST-SLIDE_335,True,False,False
TEST-SLIDE_336,True,False,False
TEST-SLIDE_370,True,False,False
TEST-SLIDE_371,True,False,False
TEST-SLIDE_372,True,False,False
TEST-SLIDE_46,True,False,False
TEST-SLIDE_47,True,False,False
TEST-SLIDE_48,True,False,False
TEST-SLIDE_10,True,False,False
TEST-SLIDE_11,True,False,False
TEST-SLIDE_12,True,False,False
TEST-SLIDE_154,True,False,False
TEST-SLIDE_155,True,False,False
TEST-SLIDE_156,True,False,False
TEST-SLIDE_226,True,False,False
TEST-SLIDE_227,True,False,False
TEST-SLIDE_228,True,False,False
TEST-SLIDE_262,True,False,False
TEST-SLIDE_263,True,False,False
TEST-SLIDE_264,True,False,False
TEST-SLIDE_337,True,False,False
TEST-SLIDE_338,True,False,False
TEST-SLIDE_339,True,False,False
TEST-SLIDE_49,True,False,False
TEST-SLIDE_50,True,False,False
TEST-SLIDE_51,True,False,False
TEST-SLIDE_85,True,False,False
TEST-SLIDE_86,True,False,False
TEST-SLIDE_87,True,False,False
TEST-SLIDE_121,True,False,False
TEST-SLIDE_122,True,False,False
TEST-SLIDE_123,True,False,False
TEST-SLIDE_157,True,False,False
TEST-SLIDE_158,True,False,False
TEST-SLIDE_159,True,False,False
TEST-SLIDE_193,True,False,False
TEST-SLIDE_194,True,False,False
TEST-SLIDE_195,True,False,False
TEST-SLIDE_229,True,False,False
TEST-SLIDE_230,True,False,False
TEST-SLIDE_231,True,False,False
TEST-SLIDE_265,True,False,False
TEST-SLIDE_266,True,False,False
TEST-SLIDE_267,True,False,False
TEST-SLIDE_328,True,False,False
TEST-SLIDE_329,True,False,False
TEST-SLIDE_330,True,False,False
TEST-SLIDE_364,True,False,False
TEST-SLIDE_365,True,False,False
TEST-SLIDE_366,True,False,False
TEST-SLIDE_4,True,False,False
TEST-SLIDE_5,True,False,False
TEST-SLIDE_6,True,False,False
TEST-SLIDE_112,True,False,False
TEST-SLIDE_113,True,False,False
TEST-SLIDE_114,True,False,False
TEST-SLIDE_184,True,False,False
TEST-SLIDE_185,True,False,False
TEST-SLIDE_186,True,False,False
TEST-SLIDE_220,True,False,False
TEST-SLIDE_221,True,False,False
TEST-SLIDE_222,True,False,False
TEST-SLIDE_256,True,False,False
TEST-SLIDE_257,True,False,False
TEST-SLIDE_258,True,False,False
TEST-SLIDE_292,True,False,False
TEST-SLIDE_293,True,False,False
TEST-SLIDE_294,True,False,False
TEST-SLIDE_304,True,False,False
TEST-SLIDE_305,True,False,False
TEST-SLIDE_306,True,False,False
TEST-SLIDE_340,True,False,False
TEST-SLIDE_341,True,False,False
TEST-SLIDE_342,True,False,False
TEST-SLIDE_52,True,False,False
TEST-SLIDE_53,True,False,False
TEST-SLIDE_54,True,False,False
TEST-SLIDE_88,True,False,False
TEST-SLIDE_89,True,False,False
TEST-SLIDE_90,True,False,False
TEST-SLIDE_124,True,False,False
TEST-SLIDE_125,True,False,False
TEST-SLIDE_126,True,False,False
TEST-SLIDE_196,True,False,False
TEST-SLIDE_197,True,False,False
TEST-SLIDE_198,True,False,False
TEST-SLIDE_232,True,False,False
TEST-SLIDE_233,True,False,False
TEST-SLIDE_234,True,False,False
TEST-SLIDE_268,True,False,False
TEST-SLIDE_269,True,False,False
TEST-SLIDE_270,True,False,False
TEST-SLIDE_307,True,False,False
TEST-SLIDE_308,True,False,False
TEST-SLIDE_309,True,False,False
TEST-SLIDE_343,True,False,False
TEST-SLIDE_344,True,False,False
TEST-SLIDE_345,True,False,False
TEST-SLIDE_379,True,False,False
TEST-SLIDE_380,True,False,False
TEST-SLIDE_381,True,False,False
TEST-SLIDE_55,True,False,False
TEST-SLIDE_56,True,False,False
TEST-SLIDE_57,True,False,False
TEST-SLIDE_199,True,False,False
TEST-SLIDE_200,True,False,False
TEST-SLIDE_201,True,False,False
TEST-SLIDE_19,True,False,False
TEST-SLIDE_20,True,False,False
TEST-SLIDE_21,True,False,False
TEST-SLIDE_235,True,False,False
TEST-SLIDE_236,True,False,False
TEST-SLIDE_237,True,False,False
TEST-SLIDE_271,True,False,False
TEST-SLIDE_272,True,False,False
TEST-SLIDE_273,True,False,False
TEST-SLIDE_310,True,False,False
TEST-SLIDE_311,True,False,False
TEST-SLIDE_312,True,False,False
TEST-SLIDE_346,True,False,False
TEST-SLIDE_347,True,False,False
TEST-SLIDE_348,True,False,False
TEST-SLIDE_382,True,False,False
TEST-SLIDE_383,True,False,False
TEST-SLIDE_384,True,False,False
TEST-SLIDE_130,True,False,False
TEST-SLIDE_131,True,False,False
TEST-SLIDE_132,True,False,False
TEST-SLIDE_166,True,False,False
TEST-SLIDE_167,True,False,False
TEST-SLIDE_168,True,False,False
TEST-SLIDE_202,True,False,False
TEST-SLIDE_203,True,False,False
TEST-SLIDE_204,True,False,False
TEST-SLIDE_238,True,False,False
TEST-SLIDE_239,True,False,False
TEST-SLIDE_240,True,False,False
TEST-SLIDE_274,True,False,False
TEST-SLIDE_275,True,False,False
TEST-SLIDE_276,True,False,False
TEST-SLIDE_313,True,False,False
TEST-SLIDE_314,True,False,False
TEST-SLIDE_315,True,False,False
TEST-SLIDE_61,True,False,False
TEST-SLIDE_62,True,False,False
TEST-SLIDE_63,True,False,False
TEST-SLIDE_97,True,False,False
TEST-SLIDE_98,True,False,False
TEST-SLIDE_99,True,False,False
TEST-SLIDE_133,True,False,False
TEST-SLIDE_134,True,False,False
TEST-SLIDE_135,True,False,False
TEST-SLIDE_169,True,False,False
TEST-SLIDE_170,True,False,False
TEST-SLIDE_171,True,False,False
TEST-SLIDE_205,True,False,False
TEST-SLIDE_206,True,False,False
TEST-SLIDE_207,True,False,False
TEST-SLIDE_241,True,False,False
TEST-SLIDE_242,True,False,False
TEST-SLIDE_243,True,False,False
TEST-SLIDE_25,True,False,False
TEST-SLIDE_26,True,False,False
TEST-SLIDE_27,True,False,False
TEST-SLIDE_28,True,False,False
TEST-SLIDE_29,True,False,False
TEST-SLIDE_30,True,False,False
TEST-SLIDE_316,True,False,False
TEST-SLIDE_317,True,False,False
TEST-SLIDE_318,True,False,False
TEST-SLIDE_352,True,False,False
TEST-SLIDE_353,True,False,False
TEST-SLIDE_354,True,False,False
TEST-SLIDE_64,True,False,False
TEST-SLIDE_65,True,False,False
TEST-SLIDE_66,True,False,False
TEST-SLIDE_100,True,False,False
TEST-SLIDE_101,True,False,False
TEST-SLIDE_102,True,False,False
TEST-SLIDE_136,True,False,False
TEST-SLIDE_137,True,False,False
TEST-SLIDE_138,True,False,False
TEST-SLIDE_172,True,False,False
TEST-SLIDE_173,True,False,False
TEST-SLIDE_174,True,False,False
TEST-SLIDE_244,True,False,False
TEST-SLIDE_245,True,False,False
TEST-SLIDE_246,True,False,False
TEST-SLIDE_319,True,False,False
TEST-SLIDE_320,True,False,False
TEST-SLIDE_321,True,False,False
TEST-SLIDE_31,True,False,False
TEST-SLIDE_32,True,False,False
TEST-SLIDE_33,True,False,False
TEST-SLIDE_355,True,False,False
TEST-SLIDE_356,True,False,False
TEST-SLIDE_357,True,False,False
TEST-SLIDE_391,True,False,False
TEST-SLIDE_392,True,False,False
TEST-SLIDE_393,True,False,False
TEST-SLIDE_67,True,False,False
TEST-SLIDE_68,True,False,False
TEST-SLIDE_69,True,False,False
TEST-SLIDE_139,True,False,False
TEST-SLIDE_140,True,False,False
TEST-SLIDE_141,True,False,False
TEST-SLIDE_211,True,False,False
TEST-SLIDE_212,True,False,False
TEST-SLIDE_213,True,False,False
TEST-SLIDE_283,True,False,False
TEST-SLIDE_284,True,False,False
TEST-SLIDE_285,True,False,False
TEST-SLIDE_34,True,False,False
TEST-SLIDE_35,True,False,False
TEST-SLIDE_36,True,False,False
TEST-SLIDE_358,True,False,False
TEST-SLIDE_359,True,False,False
TEST-SLIDE_360,True,False,False
TEST-SLIDE_394,True,False,False
TEST-SLIDE_395,True,False,False
TEST-SLIDE_396,True,False,False
TEST-SLIDE_70,True,False,False
TEST-SLIDE_71,True,False,False
TEST-SLIDE_72,True,False,False
TEST-SLIDE_142,True,False,False
TEST-SLIDE_143,True,False,False
TEST-SLIDE_144,True,False,False
TEST-SLIDE_178,True,False,False
TEST-SLIDE_179,True,False,False
TEST-SLIDE_180,True,False,False
TEST-SLIDE_250,True,False,False
TEST-SLIDE_251,True,False,False
