,train,val,test
0,TEST-SLIDE_1,TEST-SLIDE_379,TEST-SLIDE_337
1,TEST-SLIDE_2,TEST-SLIDE_380,TEST-SLIDE_338
2,TEST-SLIDE_3,TEST-SLIDE_381,TEST-SLIDE_339
3,TEST-SLIDE_421,TEST-SLIDE_214,TEST-SLIDE_211
4,TEST-SLIDE_422,TEST-SLIDE_215,TEST-SLIDE_212
5,TEST-SLIDE_423,TEST-SLIDE_216,TEST-SLIDE_213
6,TEST-SLIDE_43,TEST-SLIDE_49,TEST-SLIDE_382
7,TEST-SLIDE_44,TEST-SLIDE_50,TEST-SLIDE_383
8,TEST-SLIDE_45,TEST-SLIDE_51,TEST-SLIDE_384
9,TEST-SLIDE_85,TEST-SLIDE_10,TEST-SLIDE_46
10,TEST-SLIDE_86,TEST-SLIDE_11,TEST-SLIDE_47
11,TEST-SLIDE_87,TEST-SLIDE_12,TEST-SLIDE_48
12,TEST-SLIDE_127,TEST-SLIDE_55,TEST-SLIDE_91
13,TEST-SLIDE_128,TEST-SLIDE_56,TEST-SLIDE_92
14,TEST-SLIDE_129,TEST-SLIDE_57,TEST-SLIDE_93
15,TEST-SLIDE_169,TEST-SLIDE_16,TEST-SLIDE_175
16,TEST-SLIDE_170,TEST-SLIDE_17,TEST-SLIDE_176
17,TEST-SLIDE_171,TEST-SLIDE_18,TEST-SLIDE_177
18,TEST-SLIDE_253,TEST-SLIDE_145,TEST-SLIDE_304
19,TEST-SLIDE_254,TEST-SLIDE_146,TEST-SLIDE_305
20,TEST-SLIDE_255,TEST-SLIDE_147,TEST-SLIDE_306
21,TEST-SLIDE_295,TEST-SLIDE_64,TEST-SLIDE_388
22,TEST-SLIDE_296,TEST-SLIDE_65,TEST-SLIDE_389
23,TEST-SLIDE_297,TEST-SLIDE_66,TEST-SLIDE_390
24,TEST-SLIDE_298,TEST-SLIDE_277,TEST-SLIDE_391
25,TEST-SLIDE_299,TEST-SLIDE_278,TEST-SLIDE_392
